HOME TEAM,Lawrence University,,,
AWAY TEAM,Marion University,,,
H1 DURATION,45,,,
H2 DURATION,45,,,
HT H1 GOALS,0,,,
AT H1 GOALS,2,,,
HT H2 GOALS,0,,,
AT H2 GOALS,1,,,
HT H1 FORMATION,4-2-3-1,node,x position,y position
,,1,0.5,0.1
,,2,0.9,0.5
,,3,0.1,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,6A,0.6,0.55
,,6B,0.4,0.55
,,7,0.95,0.75
,,10,0.5,0.75
,,11,0.05,0.75
,,9,0.5,0.95
AT H1 FORMATION,4-4-2,node,x position,y position
,,1,0.5,0.1
,,2,0.9,0.4
,,3,0.1,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,8A,0.6,0.6
,,8B,0.4,0.6
,,7,0.9,0.7
,,11,0.1,0.7
,,10,0.6,0.9
,,9,0.4,0.9
HT H2 FORMATION,4-2-3-1,node,x position,y position
,,1,0.5,0.1
,,2,0.9,0.5
,,3,0.1,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,6A,0.6,0.55
,,6B,0.4,0.55
,,7,0.95,0.75
,,10,0.5,0.75
,,11,0.05,0.75
,,9,0.5,0.95
AT H2 FORMATION,4-4-2,node,x position,y position
,,1,0.5,0.1
,,2,0.9,0.4
,,3,0.1,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,8A,0.6,0.6
,,8B,0.4,0.6
,,7,0.9,0.7
,,11,0.1,0.7
,,10,0.6,0.9
,,9,0.4,0.9
AT H1 PASSING GRAPH,Node From,Node to,Number of Passes,
,1,3,2,
,1,10,1,
,1,5,2,
,1,4,6,
,2,4,1,
,2,8A,1,
,2,8B,1,
,3,11,1,
,3,10,3,
,4,1,3,
,4,5,2,
,4,2,2,
,4,8A,6,
,4,9,2,
,5,1,1,
,5,4,1,
,5,3,3,
,8A,5,4,
,8A,4,4,
,8A,2,1,
,8A,7,1,
,8A,8B,2,
,8A,9,2,
,8B,3,3,
,8B,10,1,
,8B,11,1,
,8B,2,1,
,7,9,1,
,7,8A,1,
,11,3,1,
,11,1,1,
,11,5,1,
,11,4,1,
,11,9,1,
,11,8A,1,
,9,7,1,
,9,2,1,
,10,11,1,
