HOME TEAM,University of Wisconsin Green Bay,,,
AWAY TEAM,Belmont,,,
H1 DURATION,45,,,
H2 DURATION,45,,,
OT1 DURATION,10,,,
OT2 DURATION,10,,,
HT H1 GOALS,0,,,
AT H1 GOALS,0,,,
HT H2 GOALS,0,,,
AT H2 GOALS,0,,,
HT OT1 GOALS,0,,,
AT OT1 GOALS,0,,,
HT OT2 GOALS,1,,,
AT OT2 GOALS,0,,,
HT H1 FORMATION,4-5-1,node,x position,y position
,,1,0.5,0.1
,,2,0.9,0.4
,,3,0.1,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,6,0.5,0.5
,,8,0.65,0.7
,,10,0.35,0.7
,,7,0.95,0.75
,,11,0.05,0.75
,,9,0.5,0.9
AT H1 FORMATION,4-3-3,node,x position,y position
,,1,0.5,0.1
,,2,0.9,0.4
,,3,0.1,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,6,0.5,0.5
,,8,0.65,0.7
,,10,0.35,0.7
,,7,0.95,0.9
,,9,0.5,0.9
,,11,0.05,0.9
HT H2 FORMATION,4-5-1,node,x position,y position
,,1,0.5,0.1
,,2,0.9,0.4
,,3,0.1,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,6,0.5,0.5
,,8,0.65,0.7
,,10,0.35,0.7
,,7,0.95,0.75
,,11,0.05,0.75
,,9,0.5,0.9
AT H2 FORMATION,4-3-3,node,x position,y position
,,1,0.5,0.1
,,2,0.9,0.4
,,3,0.1,0.4
,,4,0.65,0.3
,,5,0.35,0.3
,,6,0.5,0.5
,,8,0.65,0.7
,,10,0.35,0.7
,,7,0.95,0.9
,,9,0.5,0.9
,,11,0.05,0.9
HT H1 PASSING GRAPH,Node From,Node to,Number of Passes,
,1,11,2,
,2,7,4,
,2,4,2,
,2,10,1,
,2,6,2,
,2,3,1,
,4,2,1,
,4,7,1,
,4,8,1,
,4,11,1,
,5,7,2,
,5,6,1,
,5,11,1,
,5,3,2,
,3,11,6,
,3,5,1,
,6,5,4,
,6,4,3,
,6,7,1,
,6,9,1,
,6,10,1,
,6,11,2,
,7,2,3,
,7,6,2,
,7,8,3,
,7,9,1,
,8,9,2,
,8,10,1,
,8,6,1,
,8,4,1,
,8,7,1,
,10,8,2,
,10,7,1,
,10,11,5,
,10,6,1,
,11,9,2,
,11,10,3,
,11,6,1,
,11,3,6,
,9,11,1,
,9,7,2,
AT H2 PASSING GRAPH,Node From,Node to,Number of Passes,
,1,4,3,
,1,5,4,
,1,3,3,
,2,4,2,
,2,7,3,
,2,8,1,
,2,6,1,
,4,2,4,
,4,8,1,
,4,5,2,
,4,6,3,
,4,10,1,
,4,7,1,
,5,3,4,
,5,6,3,
,5,11,1,
,5,8,1,
,3,5,5,
,3,11,7,
,3,4,1,
,6,8,2,
,6,3,1,
,6,4,4,
,6,7,2,
,6,11,2,
,8,7,6,
,8,9,3,
,8,10,1,
,8,11,1,
,10,7,1,
,10,6,1,
,10,3,1,
,10,11,2,
,10,8,1,
,7,2,3,
,7,9,2,
,7,8,3,
,11,9,2,
,11,3,1,
,11,6,1,
,11,10,2,
,11,7,1,
,9,11,1,
,9,10,1,
