HOME TEAM,FVL,,,,,,,,,,,,,,,,,,,
AWAY TEAM,Xavier,,,,,,,,,,,,,,,,,,,
H1 DURATION,45,,,,,,,,,,,,,,,,,,,
H2 DURATION,45,,,,,,,,,,,,,,,,,,,
OT1 DURATION,0,,,,,,,,,,,,,,,,,,,
OT2 DURATION,0,,,,,,,,,,,,,,,,,,,
HT H1 GOALS,1,,,,,,,,,,,,,,,,,,,
HT H1 ASSISTS,1,,,,,,,,,,,,,,,,,,,
HT H1 SHOTS,4,,,,,,,,,,,,,,,,,,,
HT H1 SAVES,4,,,,,,,,,,,,,,,,,,,
HT H1 POSSESSION,1,,,,,,,,,,,,,,,,,,,
HT H1 MAX PASSES,3,,,,,,,,,,,,,,,,,,,
HT H1 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
HT H1 RED CARDS,0,,,,,,,,,,,,,,,,,,,
AT H1 GOALS,0,,,,,,,,,,,,,,,,,,,
AT H1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT H1 SHOTS,10,,,,,,,,,,,,,,,,,,,
AT H1 SAVES,1,,,,,,,,,,,,,,,,,,,
AT H1 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
AT H1 RED CARDS,0,,,,,,,,,,,,,,,,,,,
HT H2 GOALS,0,,,,,,,,,,,,,,,,,,,
HT H2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT H2 SHOTS,3,,,,,,,,,,,,,,,,,,,
HT H2 SAVES,2,,,,,,,,,,,,,,,,,,,
HT H2 POSSESSION,1,,,,,,,,,,,,,,,,,,,
HT H2 MAX PASSES,4,,,,,,,,,,,,,,,,,,,
HT H2 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
HT H2 RED CARDS,0,,,,,,,,,,,,,,,,,,,
AT H2 GOALS,0,,,,,,,,,,,,,,,,,,,
AT H2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT H2 SHOTS,7,,,,,,,,,,,,,,,,,,,
AT H2 SAVES,2,,,,,,,,,,,,,,,,,,,
AT H2 YELLOW CARDS,0,,,,,,,,,,,,,,,,,,,
AT H2 RED CARDS,0,,,,,,,,,,,,,,,,,,,
HT H1 FORMATION,4-4-2 Diamond,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.5,Midfield,,,,,,,,,,,,,,,
,,8,0.5,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.4,0.85,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.6,Midfield,,,,,,,,,,,,,,,
,,9,0.6,0.85,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.6,Midfield,,,,,,,,,,,,,,,
AT H1 FORMATION,'4-5-1,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.95,0.45,Defense,,,,,,,,,,,,,,,
,,3,0.05,0.45,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,8,0.65,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.7,Midfield,,,,,,,,,,,,,,,
,,7,0.95,0.8,Forward,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.8,Forward,,,,,,,,,,,,,,,
HT H2 FORMATION,4-4-2 Diamond,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.5,Midfield,,,,,,,,,,,,,,,
,,8,0.5,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.4,0.85,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.6,Midfield,,,,,,,,,,,,,,,
,,9,0.6,0.85,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.6,Midfield,,,,,,,,,,,,,,,
AT H2 FORMATION,'4-5-1,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.95,0.45,Defense,,,,,,,,,,,,,,,
,,3,0.05,0.45,Defense,,,,,,,,,,,,,,,
,,4,0.65,0.3,Defense,,,,,,,,,,,,,,,
,,5,0.35,0.3,Defense,,,,,,,,,,,,,,,
,,6,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,8,0.65,0.7,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.7,Midfield,,,,,,,,,,,,,,,
,,7,0.95,0.8,Forward,,,,,,,,,,,,,,,
,,9,0.5,0.9,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.8,Forward,,,,,,,,,,,,,,,
AT H1 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,10,6,10,,,,,,,,,,,,,,,,,
,4,7,6,,,,,,,,,,,,,,,,,
,7,6,5,11,6,,,,,,,,,,,,,,,
,6,8,,,,,,,,,,,,,,,,,,
,6,9,,,,,,,,,,,,,,,,,,
,4,9,,,,,,,,,,,,,,,,,,
,9,10,,,,,,,,,,,,,,,,,,
,9,11,,,,,,,,,,,,,,,,,,
,6,10,7,11,9,,,,,,,,,,,,,,,
,5,6,,,,,,,,,,,,,,,,,,
,7,8,,,,,,,,,,,,,,,,,,
,6,2,9,2,,,,,,,,,,,,,,,,
,11,6,,,,,,,,,,,,,,,,,,
,11,10,8,,,,,,,,,,,,,,,,,
,10,11,,,,,,,,,,,,,,,,,,
,10,11,,,,,,,,,,,,,,,,,,
,4,9,10,11,9,,,,,,,,,,,,,,,
,10,2,,,,,,,,,,,,,,,,,,
,5,6,10,2,,,,,,,,,,,,,,,,
,4,9,11,,,,,,,,,,,,,,,,,
,3,8,,,,,,,,,,,,,,,,,,
,2,8,,,,,,,,,,,,,,,,,,
,2,6,9,,,,,,,,,,,,,,,,,
,6,7,6,,,,,,,,,,,,,,,,,
,8,9,,,,,,,,,,,,,,,,,,
,5,6,10,6,,,,,,,,,,,,,,,,
,8,11,,,,,,,,,,,,,,,,,,
,9,6,,,,,,,,,,,,,,,,,,
,7,10,,,,,,,,,,,,,,,,,,
,6,11,,,,,,,,,,,,,,,,,,
,6,3,,,,,,,,,,,,,,,,,,
,10,8,9,,,,,,,,,,,,,,,,,
,10,9,,,,,,,,,,,,,,,,,,
,11,9,,,,,,,,,,,,,,,,,,
,11,10,,,,,,,,,,,,,,,,,,
,8,9,7,,,,,,,,,,,,,,,,,
H1 COMMENTS,,,,,,,,,,,,,,,,,,,,
,HT,Playing very deep on defense,,,,,,,,,,,,,,,,,,
,HT,"Mostly trying to play high long balls to forwards, no build up play",,,,,,,,,,,,,,,,,,
,HT,Only played to diagonally run of forward in the flank once,,,,,,,,,,,,,,,,,,
,AT,Ref on FLV side of field is missing off sides calls, he’s too old and slow,,,,,,,,,,,,,,,,,
,AT,Outside back lost track of weak side runner on the goal,,,,,,,,,,,,,,,,,,
H2 COMMENTS,,,,,,,,,,,,,,,,,,,,
,AT,Created some very good opportunities but couldn’t get one to go in,,,,,,,,,,,,,,,,,,
,HT,"One player is excessively physical, leveled a couple of players and deserved yellow",,,,,,,,,,,,,,,,,,
AT H2 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,2,8,6,,,,,,,,,,,,,,,,,
,4,9,,,,,,,,,,,,,,,,,,
,6,2,10,,,,,,,,,,,,,,,,,
,4,11,,,,,,,,,,,,,,,,,,
,3,11,9,8,,,,,,,,,,,,,,,,
,2,8,,,,,,,,,,,,,,,,,,
,6,4,,,,,,,,,,,,,,,,,,
,6,8,11,,,,,,,,,,,,,,,,,
,4,7,4,,,,,,,,,,,,,,,,,
,6,10,,,,,,,,,,,,,,,,,,
,6,11,,,,,,,,,,,,,,,,,,
,4,11,,,,,,,,,,,,,,,,,,
,4,2,,,,,,,,,,,,,,,,,,
,8,10,,,,,,,,,,,,,,,,,,
,6,8,,,,,,,,,,,,,,,,,,
,3,5,,,,,,,,,,,,,,,,,,
,3,4,3,,,,,,,,,,,,,,,,,
,9,10,7,,,,,,,,,,,,,,,,,
,10,9,,,,,,,,,,,,,,,,,,
,6,10,,,,,,,,,,,,,,,,,,
,10,9,,,,,,,,,,,,,,,,,,
,7,10,,,,,,,,,,,,,,,,,,
,4,8,11,9,,,,,,,,,,,,,,,,
,7,2,10,7,,,,,,,,,,,,,,,,
,9,7,,,,,,,,,,,,,,,,,,
,6,10,2,4,8,,,,,,,,,,,,,,,
,7,5,6,4,7,,,,,,,,,,,,,,,
,10,7,,,,,,,,,,,,,,,,,,
,6,10,,,,,,,,,,,,,,,,,,
,10,6,,,,,,,,,,,,,,,,,,
,3,11,,,,,,,,,,,,,,,,,,
